QUARTER_YEAR	QUALITY_DESC	ISO2 (Declarant)	ISO2 (Partner)	Quantity (mt)	Value (€)	Price (€/t) (f)
Q3 - 2023	Caramel	FR	SZ	0	€ 18,466	
Q3 - 2023	Caramel	NL	ZA	4	€ 3,655	
Q3 - 2023	DC raws (centrifugal)	AT	MU	384	€ 331,819	€ 864
Q3 - 2023	DC raws (centrifugal)	BE	SZ	3,118	€ 1,777,734	€ 578
Q3 - 2023	DC raws (centrifugal)	BG	MU	165	€ 141,684	
Q3 - 2023	DC raws (centrifugal)	BG	SZ	156	€ 115,745	
Q3 - 2023	DC raws (centrifugal)	CZ	MU	222	€ 191,673	
Q3 - 2023	DC raws (centrifugal)	CZ	MW	300	€ 165,088	€ 550
Q3 - 2023	DC raws (centrifugal)	CZ	SZ	774	€ 620,252	€ 804
Q3 - 2023	DC raws (centrifugal)	DE	EG	0	€ 1,297	
Q3 - 2023	DC raws (centrifugal)	DE	MU	3,452	€ 2,747,308	€ 792
Q3 - 2023	DC raws (centrifugal)	DE	SZ	1,333	€ 990,737	€ 745
Q3 - 2023	DC raws (centrifugal)	EE	MU	2	€ 3,020	
Q3 - 2023	DC raws (centrifugal)	ES	MU	585	€ 487,041	€ 855
Q3 - 2023	DC raws (centrifugal)	FR	MA	0	€ 324	
Q3 - 2023	DC raws (centrifugal)	FR	MU	702	€ 561,480	€ 810
Q3 - 2023	DC raws (centrifugal)	FR	SZ	72	€ 53,280	
Q3 - 2023	DC raws (centrifugal)	GB	MU	2,362	€ 2,128,259	€ 890
Q3 - 2023	DC raws (centrifugal)	GB	MZ	51	€ 47,172	
Q3 - 2023	DC raws (centrifugal)	GB	SZ	43	€ 36,145	
Q3 - 2023	DC raws (centrifugal)	GB	ZA	346	€ 269,184	€ 757
Q3 - 2023	DC raws (centrifugal)	GR	MU	650	€ 542,804	€ 840
Q3 - 2023	DC raws (centrifugal)	GR	SZ	516	€ 412,585	€ 820
Q3 - 2023	DC raws (centrifugal)	HR	MU	25	€ 19,925	
Q3 - 2023	DC raws (centrifugal)	HR	SZ	165	€ 130,931	
Q3 - 2023	DC raws (centrifugal)	HU	MU	0	€ 655	
Q3 - 2023	DC raws (centrifugal)	IE	MU	4	€ 7,346	
Q3 - 2023	DC raws (centrifugal)	IE	SZ	43	€ 37,539	
Q3 - 2023	DC raws (centrifugal)	IT	MU	840	€ 821,007	€ 1,005
Q3 - 2023	DC raws (centrifugal)	IT	SZ	2,781	€ 2,192,765	€ 799
Q3 - 2023	DC raws (centrifugal)	LT	MU	462	€ 370,629	€ 783
Q3 - 2023	DC raws (centrifugal)	LT	SZ	22	€ 18,877	
Q3 - 2023	DC raws (centrifugal)	LV	MU	70	€ 55,275	
Q3 - 2023	DC raws (centrifugal)	MT	MU	3	€ 6,712	
Q3 - 2023	DC raws (centrifugal)	NL	MU	21	€ 30,719	
Q3 - 2023	DC raws (centrifugal)	NL	MZ	50	€ 48,102	
Q3 - 2023	DC raws (centrifugal)	PL	MU	2,666	€ 2,150,040	€ 798
Q3 - 2023	DC raws (centrifugal)	PL	SZ	89	€ 62,332	
Q3 - 2023	DC raws (centrifugal)	PT	MU	171	€ 137,307	
Q3 - 2023	DC raws (centrifugal)	PT	MW	4	€ 7,421	
Q3 - 2023	DC raws (centrifugal)	PT	MZ	0	€ 188	
Q3 - 2023	DC raws (centrifugal)	PT	SZ	196	€ 156,162	
Q3 - 2023	DC raws (centrifugal)	RO	MU	26	€ 21,238	
Q3 - 2023	DC raws (centrifugal)	RO	SZ	383	€ 267,669	€ 669
Q3 - 2023	DC raws (centrifugal)	SE	MU	74	€ 144,942	
Q3 - 2023	DC raws (centrifugal)	SI	MU	146	€ 169,075	
Q3 - 2023	DC raws (non-centrifugal)	GB	MU	24	€ 19,818	
Q3 - 2023	DC raws (non-centrifugal)	IE	MU	44	€ 44,900	
Q3 - 2023	DC raws (non-centrifugal)	IE	MW	0	€ 1,106	
Q3 - 2023	Glucose	FR	DZ	3	€ 3,431	
Q3 - 2023	Glucose	GB	EG	12	€ 14,637	
Q3 - 2023	Glucose	GR	EG	52	€ 27,999	
Q3 - 2023	Glucose	IE	ZA	1	€ 2,723	
Q3 - 2023	Glucose	IT	EG	96	€ 49,136	
Q3 - 2023	Glucose	RO	EG	78	€ 36,757	
Q3 - 2023	Invert sugars	ES	EG	50	€ 55,000	
Q3 - 2023	Invert sugars	FR	DZ	9	€ 5,381	
Q3 - 2023	Invert sugars	IE	SZ	3	€ 6,333	
Q3 - 2023	Invert sugars	NL	ZA	2	€ 7,659	
Q3 - 2023	Invert sugars	SE	MA	0	€ 346	
Q3 - 2023	Maltodextrine	DE	EG	25	€ 19,822	
Q3 - 2023	Maltodextrine	ES	EG	25	€ 20,255	
Q3 - 2023	Raw sugar for refining	BG	ZA	26,800	€ 17,916,611	€ 669
Q3 - 2023	Raw sugar for refining	GB	ZA	39,000	€ 20,785,399	€ 533
Q3 - 2023	Raw sugar for refining	IT	MZ	3,217	€ 1,736,659	€ 540
Q3 - 2023	Raw sugar for refining	IT	ZW	24,994	€ 12,921,063	€ 517
Q3 - 2023	White sugar	BE	CM	1	€ 442	
Q3 - 2023	White sugar	BE	DZ	763	€ 656,045	€ 859
Q3 - 2023	White sugar	BE	MU	1,032	€ 760,711	€ 732
Q3 - 2023	White sugar	BG	MU	68	€ 58,685	
Q3 - 2023	White sugar	CY	EG	1,080	€ 879,454	€ 814
Q3 - 2023	White sugar	CY	MA	742	€ 557,610	€ 688
Q3 - 2023	White sugar	CY	MU	25	€ 23,975	
Q3 - 2023	White sugar	DE	MU	73	€ 72,282	
Q3 - 2023	White sugar	DE	MZ	24	€ 26,773	
Q3 - 2023	White sugar	EE	MU	1	€ 1,063	
Q3 - 2023	White sugar	ES	EG	4,330	€ 2,733,706	€ 673
Q3 - 2023	White sugar	ES	MA	15,004	€ 8,457,163	€ 565
Q3 - 2023	White sugar	ES	MU	12,533	€ 10,108,403	€ 813
Q3 - 2023	White sugar	ES	MZ	24	€ 26,400	
Q3 - 2023	White sugar	ES	SZ	1,720	€ 1,631,123	€ 928
Q3 - 2023	White sugar	FR	DZ	1,594	€ 703,785	€ 445
Q3 - 2023	White sugar	FR	MA	23	€ 41,164	
Q3 - 2023	White sugar	FR	MU	4,964	€ 4,187,585	€ 842
Q3 - 2023	White sugar	FR	MZ	227	€ 213,129	
Q3 - 2023	White sugar	FR	TZ	0	€ 153	
Q3 - 2023	White sugar	GB	MA	25	€ 20,410	
Q3 - 2023	White sugar	GB	MU	1,212	€ 1,107,689	€ 829
Q3 - 2023	White sugar	GB	MW	160	€ 107,293	
Q3 - 2023	White sugar	GB	ZA	215	€ 183,059	€ 851
Q3 - 2023	White sugar	GR	EG	1,075	€ 800,125	€ 746
Q3 - 2023	White sugar	GR	MA	250	€ 219,250	€ 877
Q3 - 2023	White sugar	GR	MU	100	€ 92,000	
Q3 - 2023	White sugar	GR	MW	23	€ 14,175	
Q3 - 2023	White sugar	HU	MU	0	€ 171	
Q3 - 2023	White sugar	IE	MU	3	€ 5,533	
Q3 - 2023	White sugar	IT	EG	5,948	€ 4,695,268	€ 786
Q3 - 2023	White sugar	IT	MA	59	€ 49,896	
Q3 - 2023	White sugar	IT	MU	9,853	€ 9,179,461	€ 917
Q3 - 2023	White sugar	IT	MZ	315	€ 302,652	€ 940
Q3 - 2023	White sugar	IT	SZ	2,731	€ 2,522,640	€ 944
Q3 - 2023	White sugar	LT	MU	525	€ 410,625	€ 719
Q3 - 2023	White sugar	LV	MZ	24	€ 27,433	
Q3 - 2023	White sugar	MT	MU	387	€ 368,715	
Q3 - 2023	White sugar	NL	MZ	877	€ 880,649	€ 979
Q3 - 2023	White sugar	NL	ZA	25	€ 55,386	
Q3 - 2023	White sugar	PL	MU	75	€ 57,406	
Q3 - 2023	White sugar	PT	MW	4	€ 10,826	
Q3 - 2023	White sugar	PT	ZA	0	€ 151	
Q3 - 2023	White sugar	SI	MU	14	€ 20,841	
Q3 - 2024	Beet molasses	CY	EG	48	€ 14,538	
Q3 - 2024	Beet molasses	DE	EG	1	€ 604	
Q3 - 2024	Beet molasses	ES	EG	28,460	€ 4,020,723	€ 143
Q3 - 2024	Beet molasses	GB	EG	5	€ 5,537	
Q3 - 2024	Beet molasses	GB	ZA	5	€ 29,350	
Q3 - 2024	Beet molasses	IT	EG	5,058	€ 792,266	€ 155
Q3 - 2024	Beet molasses	IT	ZA	0	€ 2,626	
Q3 - 2024	Beet molasses	PT	EG	6,293	€ 1,242,880	€ 197
Q3 - 2024	Cane molasses	BE	EG	5	€ 9,036	
Q3 - 2024	Cane molasses	DE	EG	0	€ 57	
Q3 - 2024	Cane molasses	DE	ZA	0	€ 89	
Q3 - 2024	Cane molasses	FR	DZ	484	€ 57,155	
Q3 - 2024	Cane molasses	GB	DZ	3,000	€ 1,338,808	
Q3 - 2024	Cane molasses	GR	EG	1	€ 639	
Q3 - 2024	Caramel	FR	DZ	9	€ 3,415	
Q3 - 2024	Caramel	FR	EG	0	€ 301	
Q3 - 2024	Caramel	GB	EG	0	€ 1,659	
Q3 - 2024	DC raws (centrifugal)	BE	CM	1	€ 770	
Q3 - 2024	DC raws (centrifugal)	BE	MU	2,185	€ 1,893,439	€ 849
Q3 - 2024	DC raws (centrifugal)	BE	MW	672	€ 414,330	€ 590
Q3 - 2024	DC raws (centrifugal)	BE	SZ	1,978	€ 1,429,257	€ 721
Q3 - 2024	DC raws (centrifugal)	BG	MU	220	€ 207,093	
Q3 - 2024	DC raws (centrifugal)	BG	SZ	72	€ 59,307	
Q3 - 2024	DC raws (centrifugal)	CY	MU	1	€ 1,071	
Q3 - 2024	DC raws (centrifugal)	CZ	MU	472	€ 417,927	€ 887
Q3 - 2024	DC raws (centrifugal)	CZ	SZ	430	€ 371,144	€ 859
Q3 - 2024	DC raws (centrifugal)	DE	EG	1	€ 1,368	
Q3 - 2024	DC raws (centrifugal)	DE	MU	1,170	€ 1,096,918	€ 937
Q3 - 2024	DC raws (centrifugal)	DE	MW	80	€ 71,224	
Q3 - 2024	DC raws (centrifugal)	DE	SZ	1,654	€ 1,235,331	€ 732
Q3 - 2024	DC raws (centrifugal)	ES	MU	2,337	€ 2,115,239	€ 904
Q3 - 2024	DC raws (centrifugal)	ES	SZ	43	€ 32,465	
Q3 - 2024	DC raws (centrifugal)	FI	MU	132	€ 129,699	
Q3 - 2024	DC raws (centrifugal)	FR	MU	1,552	€ 1,360,569	€ 876
Q3 - 2024	DC raws (centrifugal)	GB	MU	4,604	€ 4,374,861	€ 965
Q3 - 2024	DC raws (centrifugal)	GB	MZ	25	€ 25,207	
Q3 - 2024	DC raws (centrifugal)	GB	SZ	22	€ 13,982	
Q3 - 2024	DC raws (centrifugal)	GB	ZA	258	€ 223,955	
Q3 - 2024	DC raws (centrifugal)	GR	MU	176	€ 156,754	
Q3 - 2024	DC raws (centrifugal)	GR	SZ	115	€ 93,245	
Q3 - 2024	DC raws (centrifugal)	HR	MU	100	€ 92,000	
Q3 - 2024	DC raws (centrifugal)	HR	SZ	46	€ 36,752	
Q3 - 2024	DC raws (centrifugal)	HU	MU	1	€ 1,702	
Q3 - 2024	DC raws (centrifugal)	IE	MU	59	€ 95,023	
Q3 - 2024	DC raws (centrifugal)	IT	MU	1,652	€ 1,513,523	€ 930
Q3 - 2024	DC raws (centrifugal)	IT	MW	100	€ 100,000	
Q3 - 2024	DC raws (centrifugal)	IT	SZ	2,196	€ 1,642,320	€ 739
Q3 - 2024	DC raws (centrifugal)	LT	MU	175	€ 146,600	
Q3 - 2024	DC raws (centrifugal)	LT	SZ	52	€ 44,824	
Q3 - 2024	DC raws (centrifugal)	LV	MU	60	€ 59,001	
Q3 - 2024	DC raws (centrifugal)	MT	MU	70	€ 80,937	
Q3 - 2024	DC raws (centrifugal)	NL	MU	0	€ 510	
Q3 - 2024	DC raws (centrifugal)	NL	MZ	50	€ 48,448	
Q3 - 2024	DC raws (centrifugal)	NL	SZ	258	€ 180,080	€ 698
Q3 - 2024	DC raws (centrifugal)	PL	MU	853	€ 767,267	€ 903
Q3 - 2024	DC raws (centrifugal)	PL	SZ	258	€ 218,128	
Q3 - 2024	DC raws (centrifugal)	PT	MU	92	€ 95,755	
Q3 - 2024	DC raws (centrifugal)	RO	SZ	576	€ 470,247	€ 820
Q3 - 2024	DC raws (centrifugal)	SE	MU	70	€ 136,385	
Q3 - 2024	DC raws (centrifugal)	SI	MU	76	€ 129,313	
Q3 - 2024	DC raws (centrifugal)	SK	MU	75	€ 70,335	
Q3 - 2024	DC raws (non-centrifugal)	FR	MU	0	€ 186	
Q3 - 2024	DC raws (non-centrifugal)	IE	MU	42	€ 44,418	
Q3 - 2024	Fructose	BE	EG	0	€ 58	
Q3 - 2024	Fructose	IT	EG	45	€ 45,360	
Q3 - 2024	Glucose	AT	UG	38	€ 49,020	
Q3 - 2024	Glucose	BE	EG	64	€ 139,362	
Q3 - 2024	Glucose	DE	TN	0	€ 1,765	
Q3 - 2024	Glucose	FR	DZ	8	€ 30,458	
Q3 - 2024	Glucose	GR	EG	104	€ 45,439	
Q3 - 2024	Glucose	RO	EG	53	€ 24,622	
Q3 - 2024	Invert sugars	DE	ZA	1	€ 3,101	
Q3 - 2024	Invert sugars	FR	DZ	3	€ 2,719	
Q3 - 2024	Invert sugars	FR	TZ	0	€ 246	
Q3 - 2024	Invert sugars	HR	TN	1	€ 6,455	
Q3 - 2024	Invert sugars	IE	SZ	16	€ 31,585	
Q3 - 2024	Maltodextrine	ES	EG	44	€ 31,008	
Q3 - 2024	Maltose	FR	DZ	2	€ 155	
Q3 - 2024	Maple sugar	FR	DZ	1	€ 428	
Q3 - 2024	Raw sugar for refining	GB	ZA	32,059	€ 17,335,903	€ 541
Q3 - 2024	White sugar	BE	MA	36	€ 34,289	
Q3 - 2024	White sugar	BE	MU	664	€ 580,780	€ 845
Q3 - 2024	White sugar	BG	MU	25	€ 23,363	
Q3 - 2024	White sugar	CY	EG	1,032	€ 697,098	€ 708
Q3 - 2024	White sugar	CY	MA	360	€ 224,007	€ 622
Q3 - 2024	White sugar	CY	MU	1	€ 839	
Q3 - 2024	White sugar	DE	MU	314	€ 296,595	€ 909
Q3 - 2024	White sugar	DE	ZA	1	€ 15,149	
Q3 - 2024	White sugar	DK	SZ	43	€ 39,345	
Q3 - 2024	White sugar	ES	EG	3,744	€ 2,428,859	€ 626
Q3 - 2024	White sugar	ES	MA	11,140	€ 7,569,968	€ 681
Q3 - 2024	White sugar	ES	MU	3,366	€ 2,924,775	€ 863
Q3 - 2024	White sugar	ES	SZ	602	€ 493,899	€ 820
Q3 - 2024	White sugar	FR	DZ	1	€ 591	
Q3 - 2024	White sugar	FR	MA	276	€ 276,574	
Q3 - 2024	White sugar	FR	MU	3,500	€ 2,957,353	€ 827
Q3 - 2024	White sugar	FR	MZ	76	€ 73,296	
Q3 - 2024	White sugar	FR	TZ	1	€ 929	
Q3 - 2024	White sugar	GB	MU	3,845	€ 3,277,279	€ 848
Q3 - 2024	White sugar	HU	MU	0	€ 518	
Q3 - 2024	White sugar	IT	EG	5,116	€ 3,003,582	€ 614
Q3 - 2024	White sugar	IT	MU	2,124	€ 1,677,098	€ 783
Q3 - 2024	White sugar	IT	MZ	350	€ 366,705	€ 1,086
Q3 - 2024	White sugar	IT	SZ	278	€ 224,443	
Q3 - 2024	White sugar	MT	MA	280	€ 182,332	€ 645
Q3 - 2024	White sugar	MT	MU	464	€ 571,438	€ 952
Q3 - 2024	White sugar	NL	MU	3	€ 8,440	
Q3 - 2024	White sugar	NL	MZ	302	€ 300,623	€ 989
Q3 - 2024	White sugar	NL	ZA	85	€ 90,105	
Q3 - 2024	White sugar	PT	MU	0	€ 503	
Q3 - 2024	White sugar	PT	MW	5	€ 14,623	
Q3 - 2024	White sugar	SE	MA	0	€ 583	
Q3 - 2024	White sugar	SI	MU	5	€ 7,549	
Q3 - 2025	Beet molasses	BE	EG	1	€ 1,030	
Q3 - 2025	Beet molasses	DK	EG	25,209	€ 3,561,634	€ 141
Q3 - 2025	Beet molasses	ES	EG	53,827	€ 8,382,991	€ 156
Q3 - 2025	Beet molasses	FI	EG	4	€ 174	
Q3 - 2025	Beet molasses	GB	EG	3,077	€ 559,759	€ 181
Q3 - 2025	Beet molasses	GB	ZA	6	€ 27,171	
Q3 - 2025	Beet molasses	IT	EG	8,997	€ 1,529,741	€ 169
Q3 - 2025	Beet molasses	PT	EG	13,883	€ 2,399,265	€ 173
Q3 - 2025	Cane molasses	BE	EG	2	€ 2,057	
Q3 - 2025	Cane molasses	FR	DZ	808	€ 97,010	€ 120
Q3 - 2025	Cane molasses	GB	DZ	2,800	€ 861,478	€ 308
Q3 - 2025	Cane molasses	GB	EG	0	€ 1,131	
Q3 - 2025	Cane molasses	GB	MZ	9,500	€ 2,526,157	€ 266
Q3 - 2025	Cane molasses	GB	ZA	802	€ 115,287	€ 144
Q3 - 2025	Cane molasses	GR	EG	22	€ 40,204	
Q3 - 2025	Cane molasses	IE	EG	4,300	€ 778,300	€ 181
Q3 - 2025	Cane molasses	IT	MA	9,122	€ 2,292,580	€ 250
Q3 - 2025	Cane molasses	NL	EG	0	€ 257	
Q3 - 2025	Caramel	FR	DZ	1	€ 221	
Q3 - 2025	Caramel	IE	TZ	1	€ 2,856	
Q3 - 2025	Caramel	SI	ZA	5	€ 12,924	
Q3 - 2025	DC raws (centrifugal)	AT	SZ	237	€ 169,721	€ 718
Q3 - 2025	DC raws (centrifugal)	BE	CM	1	€ 1,298	
Q3 - 2025	DC raws (centrifugal)	BE	MU	1,784	€ 1,389,176	€ 761
Q3 - 2025	DC raws (centrifugal)	BE	MW	63	€ 47,250	
Q3 - 2025	DC raws (centrifugal)	BE	SZ	645	€ 441,806	€ 686
Q3 - 2025	DC raws (centrifugal)	BG	MU	336	€ 268,480	
Q3 - 2025	DC raws (centrifugal)	BG	SZ	47	€ 34,860	
Q3 - 2025	DC raws (centrifugal)	CY	MU	0	€ 342	
Q3 - 2025	DC raws (centrifugal)	CZ	MU	556	€ 427,478	€ 760
Q3 - 2025	DC raws (centrifugal)	DE	MU	800	€ 625,482	€ 772
Q3 - 2025	DC raws (centrifugal)	DE	SZ	1,550	€ 1,155,868	€ 748
Q3 - 2025	DC raws (centrifugal)	EE	MU	2	€ 3,126	
Q3 - 2025	DC raws (centrifugal)	ES	MU	2,131	€ 1,684,877	€ 800
Q3 - 2025	DC raws (centrifugal)	ES	SZ	65	€ 50,142	
Q3 - 2025	DC raws (centrifugal)	FR	MU	727	€ 573,116	€ 792
Q3 - 2025	DC raws (centrifugal)	FR	SZ	353	€ 280,783	€ 794
Q3 - 2025	DC raws (centrifugal)	GB	MU	1,262	€ 1,235,402	€ 887
Q3 - 2025	DC raws (centrifugal)	GB	SZ	129	€ 80,106	
Q3 - 2025	DC raws (centrifugal)	GR	MU	1,133	€ 876,898	€ 765
Q3 - 2025	DC raws (centrifugal)	HR	MU	50	€ 41,250	
Q3 - 2025	DC raws (centrifugal)	HR	SZ	43	€ 33,540	
Q3 - 2025	DC raws (centrifugal)	HU	SZ	22	€ 14,892	
Q3 - 2025	DC raws (centrifugal)	IE	MU	36	€ 54,691	
Q3 - 2025	DC raws (centrifugal)	IT	MA	27	€ 25,053	
Q3 - 2025	DC raws (centrifugal)	IT	MU	1,870	€ 1,661,484	€ 877
Q3 - 2025	DC raws (centrifugal)	IT	SZ	1,190	€ 852,349	€ 709
Q3 - 2025	DC raws (centrifugal)	LT	MU	1,272	€ 1,024,972	€ 805
Q3 - 2025	DC raws (centrifugal)	LV	MU	66	€ 53,430	
Q3 - 2025	DC raws (centrifugal)	MT	MU	5	€ 9,579	
Q3 - 2025	DC raws (centrifugal)	NL	MU	2	€ 2,947	
Q3 - 2025	DC raws (centrifugal)	NL	SZ	925	€ 629,417	€ 681
Q3 - 2025	DC raws (centrifugal)	PL	MU	2,013	€ 1,602,838	€ 792
Q3 - 2025	DC raws (centrifugal)	PL	SZ	48	€ 36,528	
Q3 - 2025	DC raws (centrifugal)	PT	MU	60	€ 70,998	
Q3 - 2025	DC raws (centrifugal)	RO	SZ	929	€ 685,547	€ 745
Q3 - 2025	DC raws (centrifugal)	SE	MU	380	€ 369,687	€ 934
Q3 - 2025	DC raws (centrifugal)	SI	MU	64	€ 99,462	
Q3 - 2025	DC raws (non-centrifugal)	FR	MU	10	€ 10,000	
Q3 - 2025	DC raws (non-centrifugal)	IE	MU	187	€ 170,159	
Q3 - 2025	DC raws (non-centrifugal)	IE	MW	0	€ 365	
Q3 - 2025	DC raws (non-centrifugal)	NL	MU	7	€ 6,938	
Q3 - 2025	Glucose	BE	EG	50	€ 48,487	
Q3 - 2025	Glucose	FR	DZ	2	€ 1,512	
Q3 - 2025	Glucose	SE	EG	0	€ 595	
Q3 - 2025	Invert sugars	FR	DZ	1	€ 519	
Q3 - 2025	Invert sugars	FR	TN	11	€ 28,494	
Q3 - 2025	Invert sugars	IE	SZ	6	€ 11,340	
Q3 - 2025	Maltodextrine	ES	EG	50	€ 29,183	
Q3 - 2025	Maltodextrine	GR	EG	50	€ 27,546	
Q3 - 2025	Maple sugar	FR	DZ	1	€ 500	
Q3 - 2025	Raw sugar for refining	ES	ZA	35,224	€ 13,500,081	€ 383
Q3 - 2025	Raw sugar for refining	GB	ZA	33,000	€ 12,226,681	€ 371
Q3 - 2025	White sugar	BE	MU	252	€ 210,864	€ 837
Q3 - 2025	White sugar	BE	MZ	10	€ 9,458	
Q3 - 2025	White sugar	BG	EG	720	€ 316,983	€ 440
Q3 - 2025	White sugar	BG	MU	25	€ 20,625	
Q3 - 2025	White sugar	CY	MA	682	€ 410,920	€ 603
Q3 - 2025	White sugar	CY	MU	0	€ 530	
Q3 - 2025	White sugar	DE	MU	141	€ 110,548	
Q3 - 2025	White sugar	ES	DZ	8,130	€ 3,845,376	€ 474
Q3 - 2025	White sugar	ES	EG	1,945	€ 1,001,965	€ 511
Q3 - 2025	White sugar	ES	MA	6,398	€ 2,874,115	€ 449
Q3 - 2025	White sugar	ES	MU	776	€ 445,320	€ 576
Q3 - 2025	White sugar	FR	DZ	1,356	€ 552,306	€ 407
Q3 - 2025	White sugar	FR	MA	626	€ 369,828	€ 541
Q3 - 2025	White sugar	FR	MG	1	€ 244	
Q3 - 2025	White sugar	FR	MU	4,696	€ 2,970,892	€ 628
Q3 - 2025	White sugar	FR	TZ	1	€ 410	
Q3 - 2025	White sugar	GB	MU	571	€ 456,836	€ 800
Q3 - 2025	White sugar	GR	MU	480	€ 283,200	€ 590
Q3 - 2025	White sugar	IE	MU	1	€ 2,071	
Q3 - 2025	White sugar	IT	DZ	814	€ 397,574	€ 488
Q3 - 2025	White sugar	IT	EG	10,725	€ 5,572,517	€ 510
Q3 - 2025	White sugar	IT	MA	901	€ 476,674	€ 503
Q3 - 2025	White sugar	IT	MU	716	€ 516,052	€ 715
Q3 - 2025	White sugar	LT	MU	24	€ 21,882	
Q3 - 2025	White sugar	MT	MU	1	€ 1,331	
Q3 - 2025	White sugar	NL	MZ	60	€ 57,638	
Q3 - 2025	White sugar	PL	EG	0	€ 7	
Q3 - 2025	White sugar	SI	MU	1	€ 1,542	
Q4 - 2022	Beet molasses	BE	EG	7,656	€ 2,832,535	
Q4 - 2022	Beet molasses	DE	EG	1	€ 2,211	
Q4 - 2022	Beet molasses	ES	TN	3,058	€ 966,328	
Q4 - 2022	Beet molasses	FR	DZ	0	€ 171	
Q4 - 2022	Beet molasses	GB	EG	2,500	€ 434,158	€ 174
Q4 - 2022	Beet molasses	IT	EG	94	€ 16,350	
Q4 - 2022	Cane molasses	AT	EG	2	€ 3,619	
Q4 - 2022	Cane molasses	DK	EG	1	€ 716	
Q4 - 2022	Cane molasses	FR	DZ	292	€ 37,964	
Q4 - 2022	Cane molasses	FR	MA	2,748	€ 1,117,831	€ 407
Q4 - 2022	Cane molasses	GB	DZ	2,800	€ 1,029,749	€ 368
Q4 - 2022	Cane molasses	GR	EG	12	€ 26,721	
Q4 - 2022	Cane molasses	HR	ZA	0	€ 5,380	
Q4 - 2022	Cane molasses	IE	MZ	13,911	€ 3,888,474	€ 280
Q4 - 2022	Cane molasses	IT	EG	2	€ 1,881	
Q4 - 2022	Cane molasses	NL	EG	0	€ 159	
Q4 - 2022	Cane molasses	NL	MU	1	€ 180	
Q4 - 2022	Cane molasses	NL	MZ	5,534	€ 1,475,286	€ 267
Q4 - 2022	Caramel	IE	MU	0	€ 164	
Q4 - 2022	DC raws (beet)	FR	MU	230	€ 148,176	€ 646
Q4 - 2022	DC raws (centrifugal)	AT	MU	336	€ 248,467	€ 724
Q4 - 2022	DC raws (centrifugal)	BE	CM	0	€ 818	
Q4 - 2022	DC raws (centrifugal)	BE	MU	4,357	€ 3,524,149	€ 801
Q4 - 2022	DC raws (centrifugal)	BE	SZ	2,107	€ 1,176,725	€ 557
Q4 - 2022	DC raws (centrifugal)	BE	UG	1	€ 1,014	
Q4 - 2022	DC raws (centrifugal)	BG	MU	692	€ 531,183	€ 775
Q4 - 2022	DC raws (centrifugal)	BG	SZ	72	€ 46,018	
Q4 - 2022	DC raws (centrifugal)	BG	ZA	288	€ 193,327	
Q4 - 2022	DC raws (centrifugal)	CY	MU	29	€ 27,003	
Q4 - 2022	DC raws (centrifugal)	CZ	MU	327	€ 259,536	€ 783
Q4 - 2022	DC raws (centrifugal)	CZ	SZ	649	€ 479,081	€ 692
Q4 - 2022	DC raws (centrifugal)	DE	EG	0	€ 2,959	
Q4 - 2022	DC raws (centrifugal)	DE	MU	1,762	€ 1,354,049	€ 794
Q4 - 2022	DC raws (centrifugal)	DE	SZ	968	€ 494,883	€ 669
Q4 - 2022	DC raws (centrifugal)	EE	MU	21	€ 29,683	
Q4 - 2022	DC raws (centrifugal)	ES	MU	2,360	€ 1,787,275	€ 758
Q4 - 2022	DC raws (centrifugal)	FI	MU	231	€ 306,992	€ 931
Q4 - 2022	DC raws (centrifugal)	FR	MG	0	€ 205	
Q4 - 2022	DC raws (centrifugal)	FR	MU	509	€ 374,710	€ 723
Q4 - 2022	DC raws (centrifugal)	FR	TZ	0	€ 110	
Q4 - 2022	DC raws (centrifugal)	GB	MU	4,776	€ 3,640,891	€ 749
Q4 - 2022	DC raws (centrifugal)	GR	MU	1,297	€ 1,074,957	€ 831
Q4 - 2022	DC raws (centrifugal)	GR	SZ	43	€ 29,240	
Q4 - 2022	DC raws (centrifugal)	HR	MU	71	€ 54,268	
Q4 - 2022	DC raws (centrifugal)	HR	ZA	110	€ 64,915	
Q4 - 2022	DC raws (centrifugal)	HU	MU	1	€ 1,014	
Q4 - 2022	DC raws (centrifugal)	HU	SZ	22	€ 2,447	
Q4 - 2022	DC raws (centrifugal)	HU	ZA	4,484	€ 2,654,226	€ 592
Q4 - 2022	DC raws (centrifugal)	IE	MU	4	€ 6,806	
Q4 - 2022	DC raws (centrifugal)	IT	MU	2,769	€ 2,209,975	€ 734
Q4 - 2022	DC raws (centrifugal)	IT	MZ	753	€ 460,104	€ 629
Q4 - 2022	DC raws (centrifugal)	IT	SZ	3,096	€ 1,960,999	€ 614
Q4 - 2022	DC raws (centrifugal)	IT	ZA	215	€ 121,410	€ 565
Q4 - 2022	DC raws (centrifugal)	LT	MU	1,171	€ 980,620	€ 875
Q4 - 2022	DC raws (centrifugal)	LV	MU	111	€ 91,465	
Q4 - 2022	DC raws (centrifugal)	MT	MU	5	€ 8,331	
Q4 - 2022	DC raws (centrifugal)	NL	MU	108	€ 97,145	
Q4 - 2022	DC raws (centrifugal)	NL	SZ	172	€ 105,857	
Q4 - 2022	DC raws (centrifugal)	PL	MU	2,575	€ 2,014,338	€ 787
Q4 - 2022	DC raws (centrifugal)	PL	SZ	239	€ 169,426	€ 709
